time x y z vx vy vz 
491320.0000000626 -42036814.06377951 140858501.0138467 30749.45255096494 -28.57326495014747 0.523308293898209 -0.001621634049559889 
491440.0000000626 -42040293.40373211 140858567.4435186 30747.78859212866 -29.41823065756102 0.5637235571497469 -0.02616067035755131 
491560.0000000626 -42043874.45083247 140858631.4258195 30743.17915074568 -30.26347305840144 0.4824106187009299 -0.05057039591557239 
491680.0000000626 -42047555.48486208 140858678.5009442 30735.69056522244 -31.08001980787581 0.2833595361796195 -0.07401190695649566 
491800.0000000626 -42051331.47311634 140858695.2135604 30725.48477925566 -31.84221802642625 -0.02094550865356735 -0.09574761731364134 
491920.0000000626 -42055194.65482682 140858670.0068714 30712.80178381136 -32.53061506454032 -0.4118273821732446 -0.1152247887256426 
492040.0000000626 -42059135.38225998 140858593.7821585 30697.93464815706 -33.13329871972244 -0.8675306330069387 -0.1321138175630355 
492160.0000000626 -42063143.0262057 140858460.0831759 30681.20279520453 -33.64567649090494 -1.366218123195015 -0.1463005616064702 
492280.0000000626 -42067206.78329932 140858264.9627647 30662.92830797917 -34.06916179855087 -1.888198040189217 -0.1578465027005183 
492400.0000000626 -42071316.2915988 140858006.6413719 30643.4180118504 -34.40939254993258 -2.417162333854595 -0.1669353118258078 
492520.0000000626 -42075462.03088576 140857685.0712932 30622.9519946445 -34.67449173566266 -2.940558514223937 -0.1738209815040576 
492640.0000000626 -42079635.53218205 140857301.4946681 30601.77779910948 -34.87365613744559 -3.449371920023653 -0.1787860096231235 
492760.0000000626 -42083829.44270239 140856858.0486529 30580.10888187541 -35.01615998080512 -3.937599199264946 -0.1821121445233942 
492880.0000000626 -42088037.49472272 140856357.4413664 30558.12587637041 -35.11073787187926 -4.401623070337044 -0.1840625337938524 
493000.0000000626 -42092254.41891546 140855802.7020903 30535.97944444415 -35.16526045953142 -4.839614771644039 -0.1848726125725285 
493120.0000000626 -42096475.83166968 140855196.9982695 30513.79383893557 -35.18661080172171 -5.251023966294819 -0.1847469299051853 
493240.0000000626 -42100698.11568691 140854543.5074807 30491.6706096345 -35.18068490286296 -5.63617313624418 -0.1838596007225082 
493360.0000000626 -42104918.30520818 140853845.3320278 30469.69212399076 -35.15246077811342 -5.995950678443194 -0.1823567151319953 
493480.0000000626 -42109133.98171885 140853105.4451926 30447.92473838887 -35.10609922643585 -6.331587306742226 -0.1803596114907706 
493600.0000000626 -42113343.18246805 140852326.6601988 30426.42155950116 -35.04505383418422 -6.644498222568577 -0.1779683540521075 
493720.0000000626 -42117544.32207538 140851511.6149883 30405.22479527631 -34.97217761375458 -6.936174960629202 -0.1752650528456811 
493840.0000000626 -42121736.12639645 140850662.7676751 30384.36772637568 -34.88982001642063 -7.208113581100526 -0.1723168519046185 
493960.0000000626 -42125917.57731695 140849782.3989705 30363.87634239675 -34.79991187160496 -7.461768810318905 -0.1691785239694193 
494080.0000000626 -42130087.86699307 140848872.6189555 30343.77069053558 -34.70403795241229 -7.698526326030347 -0.1658946717849051 
494200.0000000626 -42134246.36009418 140847935.3763841 30324.0659822308 -34.60349797374175 -7.919687485499214 -0.1625015671038461 
494320.0000000626 -42138392.56273504 140846972.4692841 30304.77349869592 -34.49935731638918 -8.126462412686768 -0.159028671307642 
494440.0000000626 -42142526.09694982 140845985.5560348 30285.90133074304 -34.39248890807362 -8.319968565214376 -0.1554998842599577 
494560.0000000626 -42146646.6797311 140844976.1663906 30267.45498282241 -34.28360764573767 -8.501232778512628 -0.1519345655203449 
494680.0000000626 -42150754.1058155 140843945.7121229 30249.43786618033 -34.17329861050515 -8.671195412213084 -0.1483483672586765 
494800.0000000626 -42154848.23353767 140842895.4970863 30231.85170164634 -34.06204016244707 -8.830715667767935 -0.1447539126994407 
494920.0000000626 -42158928.97319542 140841826.7266089 30214.69684882788 -33.95022283633531 -8.980577457077585 -0.1411613485289155 
495040.0000000626 -42162996.27746946 140840740.5161653 30197.9725753788 -33.83816480630684 -9.121495417564159 -0.1375787948093037 
495160.0000000626 -42167050.1335254 140839637.8993342 30181.67727744374 -33.72612455263793 -9.254120817513433 -0.1340127116975137 
495280.0000000626 -42171090.55649421 140838519.8350602 30165.80866028617 -33.61431124907714 -9.379047196572111 -0.1304681986862778 
495400.0000000626 -42175117.5840839 140837387.2142606 30150.36388640574 -33.50289329318941 -9.496815654439526 -0.1269492391138654 
495520.0000000626 -42179131.27212114 140836240.8658204 30135.33969707239 -33.39200532301984 -9.6079197460156 -0.1234589002492491 
495640.0000000626 -42183131.69085807 140835081.5620243 30120.7325120904 -33.2817539986308 -9.712809970741638 -0.1199994972857038 
495760.0000000626 -42187118.9219104 140833910.0234738 30106.53851170546 -33.17222277441449 -9.811897862530873 -0.1165727279667256 
495880.0000000626 -42191093.05571698 140832726.9235372 30092.75370384146 -33.06347584542225 -9.905559697989478 -0.113179783280664 
496000.0000000626 -42195054.18943094 140831532.8923754 30079.37397926535 -32.95556141646463 -9.994139846996505 -0.1098214386175169 
496120.0000000626 -42199002.42516868 140830328.5205872 30066.39515680418 -32.84851441487091 -10.07795379279448 -0.1064981289454569 
496240.0000000626 -42202937.86855593 140829114.3625092 30053.81302035237 -32.7423587453101 -10.15729084968588 -0.1032100108926704 
496360.0000000626 -42206860.62752125 140827890.9392067 30041.62334909561 -32.63710916689583 -10.23241660602107 -0.099957014075961 
496480.0000000626 -42210770.81129511 140826658.7411873 30029.82194212296 -32.53277285811435 -10.303575118929 -0.09673888358462805 
496600.0000000626 -42214668.52958105 140825418.2308642 30018.40463839268 -32.42935072319841 -10.37099088555225 -0.09355521517233387 
496720.0000000626 -42218553.89187019 140824169.8447947 30007.36733284752 -32.32683848394764 -10.43487061362253 -0.09040548442865842 
496840.0000000626 -42222427.00687579 140822913.9957184 29996.70598933773 -32.22522759314617 -10.49540481222519 -0.08728907096948052 
496960.0000000626 -42226287.98206823 140821651.0744134 29986.4166508967 -32.12450599935018 -10.55276922163716 -0.0842052784994024 
497080.0000000626 -42230136.92329401 140820381.4513901 29976.49544782087 -32.02465878763002 -10.60712609925267 -0.08115335144803627 
497200.0000000626 -42233973.93446539 140819105.4784386 29966.93860392961 -31.92566871659221 -10.65862537685569 -0.07813248875803581 
497320.0000000626 -42237799.11730891 140817823.4900439 29957.74244131702 -31.82751666853592 -10.70740570288682 -0.0751418553014484 
497440.0000000626 -42241612.57116366 140816535.8046831 29948.90338385603 -31.73018202673418 -10.75359538187883 -0.07218059131944689 
497560.0000000626 -42245414.39282082 140815242.7260142 29940.41795967164 -31.63364299149149 -10.79731322190857 -0.0692478202120365 
497680.0000000626 -42249204.67639811 140813944.5439696 29932.28280276458 -31.53787684469098 -10.83866929971679 -0.06634265494999381 
497800.0000000626 -42252983.51324316 140812641.5357614 29924.49465393678 -31.44286017094539 -10.87776565207691 -0.06346420333352436 
497920.0000000626 -42256750.99186141 140811333.9668081 29917.05036114534 -31.3485690421423 -10.91469690104099 -0.06061157228692863 
498040.0000000626 -42260507.19786388 140810022.0915899 29909.94687939103 -31.25497917108335 -10.94955081984316 -0.05778387134554368 
498160.0000000626 -42264252.21393218 140808706.1544392 29903.1812702302 -31.16206603899689 -10.98240884548442 -0.05498021546674305 
498280.0000000626 -42267986.11979704 140807386.3902728 29896.75070098422 -31.06980500095268 -11.01334654335584 -0.05219972727411672 
498400.0000000626 -42271708.99222873 140806063.0252705 29890.65244370904 -30.97817137256767 -11.04243402866257 -0.0494415388274635 
498520.0000000626 -42275420.90503659 140804736.2775061 29884.88387397687 -30.88714050086622 -11.06973634888547 -0.04670479299561705 
498640.0000000626 -42279121.92907646 140803406.3575343 29879.44246951362 -30.79668782171339 -11.09531383105117 -0.0439886444968435 
498760.0000000626 -42282812.13226412 140802073.4689378 29874.32580872864 -30.70678890586909 -11.1192223971662 -0.0412922606617375 
498880.0000000626 -42286491.57959382 140800737.8088384 29869.53156916729 -30.61741949539618 -11.14151385080661 -0.03861482196441226 
499000.0000000626 -42290160.33316059 140799399.5683755 29865.05752591166 -30.52855553189765 -11.16223613752719 -0.035955522360785 
499120.0000000626 -42293818.45218554 140798058.9331546 29860.90154995059 -30.44017317783019 -11.1814335814652 -0.03331356946676411 
499240.0000000626 -42297465.99304328 140796716.0836687 29857.06160653659 -30.35224883196114 -11.1991471002584 -0.03068818460370506 
499360.0000000626 -42301103.00929102 140795371.1956952 29853.53575354392 -30.26475913986888 -11.21541440016086 -0.02807860273501397 
499480.0000000626 -42304729.5516986 140794024.4406705 29850.32213984002 -30.17768100026534 -11.23027015304666 -0.02548407231286528 
499600.0000000626 -42308345.66827902 140792675.9860447 29847.41900367967 -30.0909915677962 -11.24374615680068 -0.02290385505270121 
499720.0000000626 -42311951.40431922 140791325.9956167 29844.82467112999 -30.00466825288083 -11.25587148043118 -0.02033722564894479 
499840.0000000626 -42315546.80241061 140789974.6298544 29842.53755453234 -29.91868871907666 -11.26667259510127 -0.01778347144455175 
499960.0000000626 -42319131.9024792 140788622.0461994 29840.55615100619 -29.83303087837997 -11.27617349213353 -0.01524189206417697 
500080.0000000626 -42322706.74181499 140787268.3993573 29838.87904099877 -29.74767288481876 -11.28439578893228 -0.012711799020284 
500200.0000000626 -42326271.35510065 140785913.8415776 29837.50488688314 -29.66259312664338 -11.29135882365384 -0.01019251529910305 
500320.0000000626 -42329825.77443901 140784558.5229216 29836.43243160692 -29.57777021737932 -11.29707973936151 -0.007683374933328575 
500440.0000000626 -42333370.02937962 140783202.5915212 29835.66049739273 -29.49318298597204 -11.30157355831194 -0.005183722567009703 
500560.0000000626 -42336904.14694386 140781846.1938301 29835.18798449113 -29.4088104662238 -11.30485324693661 -0.002692913017597512 
500680.0000000626 -42340428.15164885 140780489.4748659 29835.01386998608 -29.32463188569841 -11.30692977201175 -0.0002103108389488366 
500800.0000000626 -42343942.06553015 140779132.5784481 29835.13720665246 -29.24062665425019 -11.30781214843413 0.002264710110109912 
500920.0000000626 -42347445.90816284 140777775.6474295 29835.55712186499 -29.1567743523168 -11.30750747896257 0.00473276708875259 
501040.0000000626 -42350939.69668127 140776418.8239235 29836.27281655724 -29.07305471910367 -11.30602098621979 0.007194468885328375 
501160.0000000626 -42354423.44579743 140775062.2495285 29837.28356422899 -28.98944764077658 -11.30335603719409 0.009650416213539587 
501280.0000000626 -42357897.16781793 140773706.0655492 29838.58871000024 -28.90593313877369 -11.29951416042598 0.01210120209099563 
501400.0000000626 -42361360.87265945 140772350.4132166 29840.1876697093 -28.82249135834347 -11.29449505601153 0.01454741219701368 
501520.0000000626 -42364814.56786299 140770995.4339074 29842.07992905259 -28.73910255741244 -11.28829659850423 0.01698962520668775 
501640.0000000626 -42368258.2586067 140769641.2693628 29844.26504276274 -28.6557470958885 -11.28091483274694 0.01942841309854412 
501760.0000000626 -42371691.94771754 140768288.0619092 29846.74263382212 -28.57240542550811 -11.27234396261682 0.02186434143204766 
501880.0000000626 -42375115.63568172 140766935.9546797 29849.51239270744 -28.48905808034088 -11.26257633261466 0.0242979695919102 
502000.0000000626 -42378529.32065404 140765585.0918389 29852.57407666164 -28.40568566807341 -11.25160240218128 0.02672985099505107 
